Number of Buildings Mentioned,What Happened,Type of Building,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 --- , --- , --- ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 2,000 ", Damaged/Destroyed , Health Facilities ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 27,000 ", Damaged/Destroyed , Schools ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Universities ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Colleges ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Secondary/High Schools ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Elementary Schools ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Pre-school Facilities ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Training Centres ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Kindergarten ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Military School ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Prison School ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 N/A , N/A , Education Facilities ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
----------------,----------------,---------------,"Her daughters used to study in the government-run primary school, which was among the 17,205 flood-impacted educational institutions across Pakistan.",Pakistan,2023-02-13 14:43:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-need-tackling-development-different-perspective,Pakistan
"     17,205     ",  Flood-impacted , Primary School,"Her daughters used to study in the government-run primary school, which was among the 17,205 flood-impacted educational institutions across Pakistan.",Pakistan,2023-02-13 14:43:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-need-tackling-development-different-perspective,Pakistan
------------------------------,-----------------------------------------,------------------,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
"            2,000,000         ",              Impacted                   , Residential       ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
            Several thousands  ,             Damaged or destroyed         , Educational       ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
            Several thousands  ,             Damaged or destroyed         , Medical           ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
---------------------,-------------------------,------------------,This year has faced two emergencies i.e Covid-19 & Floods that made a direct impact on Afghan Children Education as well.,Pakistan,2023-01-04 05:48:05+00:00,News and Press Release,https://reliefweb.int/report/pakistan/stories-pakistan-2022,
 0                   , Not mentioned            , Not mentioned     ,This year has faced two emergencies i.e Covid-19 & Floods that made a direct impact on Afghan Children Education as well.,Pakistan,2023-01-04 05:48:05+00:00,News and Press Release,https://reliefweb.int/report/pakistan/stories-pakistan-2022,
 --- , --- , --- ,"Education Pakistan has one of the world’s highest number of out-of-school children, including 45 per cent of children in flood-affected districts who are out-of-school prior to the floods.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,Pakistan
 0 , N/A , N/A ,"Education Pakistan has one of the world’s highest number of out-of-school children, including 45 per cent of children in flood-affected districts who are out-of-school prior to the floods.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,Pakistan
----------------,--------------------,------------------------------,"There are 34,200 schools damaged or destroyed.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
