number of workers affected,type of workers,workers affected working sector,productive asset type,productive asset loss,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 --- , --- , --- , --- , --- ,"The savage floods of July and August 2022 devastated Pakistan, putting over one-third of the country under water and driving millions from their homes during a monsoon season described as ""on steroids.""",Pakistan,2023-06-06 15:22:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-flood-problem-supercharged-climate-change-recovery-process-will-need-go-beyond-damage-control,Pakistan
 Millions , Not specified , Not specified , Not specified , Not specified ,"The savage floods of July and August 2022 devastated Pakistan, putting over one-third of the country under water and driving millions from their homes during a monsoon season described as ""on steroids.""",Pakistan,2023-06-06 15:22:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-flood-problem-supercharged-climate-change-recovery-process-will-need-go-beyond-damage-control,Pakistan
 ---------------------------,----------------,---------,-----------------------,-------------------------------,The study found that there was a difference of 9 per cent in early initiation of breastfeeding during floods.,Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 0                          , N/A            , N/A      , N/A                   , N/A                           ,The study found that there was a difference of 9 per cent in early initiation of breastfeeding during floods.,Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
---,---,---,---,---,The difference in exclusive breastfeeding practice before and after floods shows an 8% decrease in infants getting only breast milk.,Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 0 , N/A , N/A , N/A , N/A ,The difference in exclusive breastfeeding practice before and after floods shows an 8% decrease in infants getting only breast milk.,Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 8 , Infants , Healthcare , Breast milk , N/A ,The difference in exclusive breastfeeding practice before and after floods shows an 8% decrease in infants getting only breast milk.,Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 ------------------------- , --------------- , ------ , ---------------------, ------------------------------,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 N/A                       , N/A             , N/A     , N/A                   , N/A                            ,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 0                         , N/A             , N/A     , N/A                   , N/A                            ,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
