Number of People Mentioned,What Happened,Age,Gender,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 6 , Killed , - , - ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
 15 , Injured , - , - ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
 19 , Dead , - , - ,"• Since April 2023, heavy rainfall and flashfloods have tragically caused the death of 19 people, injured more than 10, and destroyed properties, bridges, highways, crops, and livestock.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 13                        , Dead          , N/A , N/A    ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 11                        , Injured       , N/A , N/A    ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 24                        , Damaged or Destroyed Houses , N/A , N/A ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 100                       , Cattle Perished , N/A , N/A ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 10+ , Injured , - , - ,"• Since April 2023, heavy rainfall and flashfloods have tragically caused the death of 19 people, injured more than 10, and destroyed properties, bridges, highways, crops, and livestock.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 2 , Died , N/A , N/A ,"According to media reports, at least two people died, three have been injured and at least 20 trucks have been buried.",Pakistan,2023-04-18 11:36:39+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-landslide-pmd-media-media-echo-daily-flash-18-april-2023,
 3 , Injured , N/A , N/A ,"According to media reports, at least two people died, three have been injured and at least 20 trucks have been buried.",Pakistan,2023-04-18 11:36:39+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-landslide-pmd-media-media-echo-daily-flash-18-april-2023,
 20 , N/A , N/A , N/A ,"According to media reports, at least two people died, three have been injured and at least 20 trucks have been buried.",Pakistan,2023-04-18 11:36:39+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-landslide-pmd-media-media-echo-daily-flash-18-april-2023,
" 2,000,000                 ", Lost their homes       , -   , -      ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
" 1,700                     ", Were killed            , -   , -      ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
" 4,006 ", Injured , Children , Not Specified ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 897,014 ", Fully Damaged Houses , Not Specified , Not Specified ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 1,391,467 ", Partially Damaged Houses , Not Specified , Not Specified ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 12,867 ", Injured , Not Specified , Not Specified ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 1,739 ", Dead , Not Specified , Not Specified ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 2,280,481 ", Affected (houses damaged) , Not Specified , Not Specified ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 647 , Dead , Children , Not Specified ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 1100+ , Died , Not mentioned , Not mentioned ,"Over 1100 people died, and over 14 million people had their homes and properties damaged or destroyed.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
 14 million+ , Homes and Properties Damaged or Destroyed,Not mentioned, Not mentioned ,"Over 1100 people died, and over 14 million people had their homes and properties damaged or destroyed.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
 1 , Dead , 14 , Male ,My 14-year-old son and 12-year-old daughter died when our mud-built house caved in.,Pakistan,2023-01-13 15:29:47+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistani-flood-survivors-welcome-funding-demand-immediate-disbursement,
 1 , Dead , 12 , Female ,My 14-year-old son and 12-year-old daughter died when our mud-built house caved in.,Pakistan,2023-01-13 15:29:47+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistani-flood-survivors-welcome-funding-demand-immediate-disbursement,
" 1,700  ", Dead , N/A , N/A ,"A terrifying “wall of water” killed more than 1,700 people, injured thousands more and affected a total of more than 33 million, displacing 8 million people.",Pakistan,2023-01-09 17:10:11+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-community-must-be-honest-about-brutal-injustice-loss-felt-developing-countries-due-climate-change-secretary-general-tells-conference-pakistan,
 33 million  , Affected , N/A , N/A ,"A terrifying “wall of water” killed more than 1,700 people, injured thousands more and affected a total of more than 33 million, displacing 8 million people.",Pakistan,2023-01-09 17:10:11+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-community-must-be-honest-about-brutal-injustice-loss-felt-developing-countries-due-climate-change-secretary-general-tells-conference-pakistan,
 8 million  , Displaced , N/A , N/A ,"A terrifying “wall of water” killed more than 1,700 people, injured thousands more and affected a total of more than 33 million, displacing 8 million people.",Pakistan,2023-01-09 17:10:11+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-community-must-be-honest-about-brutal-injustice-loss-felt-developing-countries-due-climate-change-secretary-general-tells-conference-pakistan,
" >1,000  ", Injured , N/A , N/A ,"A terrifying “wall of water” killed more than 1,700 people, injured thousands more and affected a total of more than 33 million, displacing 8 million people.",Pakistan,2023-01-09 17:10:11+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-community-must-be-honest-about-brutal-injustice-loss-felt-developing-countries-due-climate-change-secretary-general-tells-conference-pakistan,
" 1,700 ", dead , - , - ,"Over 1,700 people died, including 647 children, and an additional 12,867 were injured.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
 647 , dead , <18 years old , - ,"Over 1,700 people died, including 647 children, and an additional 12,867 were injured.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
" 12,867 ", injured , - , - ,"Over 1,700 people died, including 647 children, and an additional 12,867 were injured.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
"           1,500            ",          dead         ,  NA ,   NA   ,"The flooding has also taken more than 1,500 lives.",Pakistan,2022-12-14 00:06:22+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-plunge-millions-poverty,
" 1,700                     ", Dead          , N/A , N/A    ,"Fast Facts Since the devastating floods that began in June, more than 1,700 people have died and almost 8 million people have been displaced.",Pakistan,2022-12-06 17:30:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-situation-report-6-december-6-2022,
 8 million                 , Displaced     , N/A , N/A    ,"Fast Facts Since the devastating floods that began in June, more than 1,700 people have died and almost 8 million people have been displaced.",Pakistan,2022-12-06 17:30:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-situation-report-6-december-6-2022,
