Number of Buildings Mentioned,What Happened,Type of Building,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 40 million , N/A , Electricity Access ,"In Pakistan, more than 40 million people do not have access to electricity.",Pakistan,2023-06-05 04:19:39+00:00,Analysis,https://reliefweb.int/report/pakistan/burning-emergency-extreme-heat-and-right-health-pakistan,Pakistan
       1            , Damaged, Household     ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
       1            , Destroyed, Household   ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
 24 , Damaged or destroyed , Household ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
" 1,000,000          ", Destroyed , Household      ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
  500 000 , damaged , kilometers of roads ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
  2 million , flooded , acres of crops ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
  1 million , destroyed , homes ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
 2.2 million , damaged or destroyed , Household / Residence ,"Highlights Floods in 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-04-17 16:49:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-11-march-2023,
 439    , Damaged          , Bridges           ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
