number of workers affected,type of workers,workers affected working sector,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 6 , N/A , N/A ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
 15 , N/A , N/A ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
        11        ,        -       ,   -    ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 8 , Infants , Healthcare ,The difference in exclusive breastfeeding practice before and after floods shows an 8% decrease in infants getting only breast milk.,Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 33                        , Infants         , N/A     ,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 17                        , Infants         , N/A     ,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 67                        , Infants         , N/A     ,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 33 million , Not specified , Not specified ,"Highlights Floods in 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-04-17 16:49:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-11-march-2023,
" 1,739 ", Not specified , Not specified ,"Highlights Floods in 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-04-17 16:49:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-11-march-2023,
" 250,000                   ", All types        , All sectors ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-04-11 05:36:44+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-2-march-2023-enursd,Pakistan
" 1,200                      ", Construction workers , Infrastructure ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-04-11 05:36:44+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-2-march-2023-enursd,Pakistan
 500                        , Factory workers , Manufacturing ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-04-11 05:36:44+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-2-march-2023-enursd,Pakistan
" 7,000                      ", Farmers          , Agriculture ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-04-11 05:36:44+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-2-march-2023-enursd,Pakistan
" 1,700  ", N/A            , N/A     ,"As of 18 November 2022, the Pakistan National Disaster Management Authority (NDMA) reported over 1,700 people having lost their lives and at least 12,867 people injured.",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
"    8,400,000 - 9,100,000   ",   Not mentioned   ,   Not mentioned   ,"According to the government’s preliminary estimates, the floods will increase the poverty rate by 3.7 to 4.0 per cent resulting in 8.4 to 9.1 million people being pushed into poverty3 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 12,867 ", N/A            , N/A     ,"As of 18 November 2022, the Pakistan National Disaster Management Authority (NDMA) reported over 1,700 people having lost their lives and at least 12,867 people injured.",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
"          1,700           ",      N/A       ,   N/A       ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
