Number of Buildings Mentioned,What Happened,Type of Building,text,primary_country,date_posted,format,url,NER_extracted_geolocation
---,---,---,"Therefore, the Ministry of National Education is organizing a summer school program in the region from August 1st to September 1st.",Türkiye,2023-05-19 10:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-18-may-2023-situation-report-22-entr,
 0 , N/A, Not mentioned ,"Therefore, the Ministry of National Education is organizing a summer school program in the region from August 1st to September 1st.",Türkiye,2023-05-19 10:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-18-may-2023-situation-report-22-entr,
 ------------------ , -------------, ----------------,"La educación de aproximadamente 1,9 millones de niños y niñas se ha visto interrumpida, ya que muchas escuelas se siguen utilizando como refugios.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
" 1,900,000          ", Interrupted/Being used as shelters , Elementary Schools ,"La educación de aproximadamente 1,9 millones de niños y niñas se ha visto interrumpida, ya que muchas escuelas se siguen utilizando como refugios.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
---------------------,------------------------,------------------,"Les deux premiers tremblements de terre dévastateurs qui ont frappé ces deux pays le 6 février 2023, et les milliers de répliques qui ont suivi, ont plongé de nombreuses familles dans une situation catastrophique et privé les enfants d’un toit et de services essentiels, notamment d’un accès à l’eau salubre, à l’éducation et aux soins de santé, en plus de menacer la protection des enfants vulnérables.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
         0           ,       not mentioned     ,  not mentioned    ,"Les deux premiers tremblements de terre dévastateurs qui ont frappé ces deux pays le 6 février 2023, et les milliers de répliques qui ont suivi, ont plongé de nombreuses familles dans une situation catastrophique et privé les enfants d’un toit et de services essentiels, notamment d’un accès à l’eau salubre, à l’éducation et aux soins de santé, en plus de menacer la protection des enfants vulnérables.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 --- , --- , --- ,"Toujours selon les estimations, l’éducation de 1,9 million d’enfants a été perturbée et de nombreuses écoles servent encore d’abris.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 Numerous buildings , Damaged , Education Facilities ,"Toujours selon les estimations, l’éducation de 1,9 million d’enfants a été perturbée et de nombreuses écoles servent encore d’abris.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 Many schools , Damaged , Elementary Schools ,"Toujours selon les estimations, l’éducation de 1,9 million d’enfants a été perturbée et de nombreuses écoles servent encore d’abris.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 Many schools , Damaged , Secondary/High Schools ,"Toujours selon les estimations, l’éducation de 1,9 million d’enfants a été perturbée et de nombreuses écoles servent encore d’abris.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 Many schools , Damaged , Pre-school Facilities ,"Toujours selon les estimations, l’éducation de 1,9 million d’enfants a été perturbée et de nombreuses écoles servent encore d’abris.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 Many schools , Damaged , Training Centers ,"Toujours selon les estimations, l’éducation de 1,9 million d’enfants a été perturbée et de nombreuses écoles servent encore d’abris.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 Many schools , Damaged , Kindergarten ,"Toujours selon les estimations, l’éducation de 1,9 million d’enfants a été perturbée et de nombreuses écoles servent encore d’abris.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 Many schools , Damaged , Military School ,"Toujours selon les estimations, l’éducation de 1,9 million d’enfants a été perturbée et de nombreuses écoles servent encore d’abris.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 Many schools , Damaged , Prison School ,"Toujours selon les estimations, l’éducation de 1,9 million d’enfants a été perturbée et de nombreuses écoles servent encore d’abris.",Syria,2023-05-17 15:39:55+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-jours-apres-les-seismes-qui-ont-frappe-la-turkiye-et-la-syrie-des-millions-denfants-se-trouvent-toujours-dans-une-situation-desesperee,
 --- , --- , --- ," The Council of Higher Education (YÖK) announced that students residing in the earthquake-affected
provinces who will take the university exam will be allocated an additional 25% quota for placement in
schools in their provinces.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
 0 , N/A , N/A ," The Council of Higher Education (YÖK) announced that students residing in the earthquake-affected
provinces who will take the university exam will be allocated an additional 25% quota for placement in
schools in their provinces.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
---------------------,--------------------,------------------," The Minister of National Education stated that 40,000 teachers were working in the earthquake zone.",Türkiye,2023-05-05 10:53:56+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-03052023,
          0          ,         N/A        ,     N/A          ," The Minister of National Education stated that 40,000 teachers were working in the earthquake zone.",Türkiye,2023-05-05 10:53:56+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-03052023,
------------------------------,----------------------------------------,----------------------------------------,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11                           , Damaged                                , Health centres and schools              ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11                           , Schools                                , UNRWA (type of building not mentioned) ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11                           , Educational facilities                 , UNRWA (type of building not mentioned) ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 :--------------------: , :-------------------------------: , :---------------------: ,Education expenses have also increased due to the cost of sending children back to school after the COVID-19 pandemic.,Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
            0            ,                 N/A                 ,           N/A            ,Education expenses have also increased due to the cost of sending children back to school after the COVID-19 pandemic.,Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
 ------------------- , --------------------, ---------------- ,"The MoNE has resumed education in earthquake affected provinces and nearly 1.5 million students have resumed classes in these provinces, with the school year due to close on 16 June.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
  Not mentioned      , Not mentioned        , Not mentioned    ,"The MoNE has resumed education in earthquake affected provinces and nearly 1.5 million students have resumed classes in these provinces, with the school year due to close on 16 June.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
  0                  , Not mentioned        , Not mentioned    ,"The MoNE has resumed education in earthquake affected provinces and nearly 1.5 million students have resumed classes in these provinces, with the school year due to close on 16 June.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
------------------------------,--------------------------------,------------------,"The MoNE has announced schools will open in all 81 provinces and all districts, including the ones affected by the earthquake, following Bayram/Eid Holidays (after 24 April); when it is expected new data on the number of students who have resumed classes in all earthquake affected areas will be announced.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
             0                ,               N/A              ,     N/A          ,"The MoNE has announced schools will open in all 81 provinces and all districts, including the ones affected by the earthquake, following Bayram/Eid Holidays (after 24 April); when it is expected new data on the number of students who have resumed classes in all earthquake affected areas will be announced.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
             81               ,            Not mentioned        ,     Education Facilities     ,"The MoNE has announced schools will open in all 81 provinces and all districts, including the ones affected by the earthquake, following Bayram/Eid Holidays (after 24 April); when it is expected new data on the number of students who have resumed classes in all earthquake affected areas will be announced.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
        Not mentioned         ,           Damaged/Destroyed     ,     Education Facilities     ,"The MoNE has announced schools will open in all 81 provinces and all districts, including the ones affected by the earthquake, following Bayram/Eid Holidays (after 24 April); when it is expected new data on the number of students who have resumed classes in all earthquake affected areas will be announced.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
 ------------- ,:-------------:, -----:,"The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion for repair and rehabilitation alone.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
" 20,430   ", Extensive Damage ," Universities, Colleges, Secondary/High Schools, Elementary Schools, Pre-school facilities, Training Centres, Kindergarten, Military School, Prison School, Education Facilities ","The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion for repair and rehabilitation alone.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
,,,"The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion for repair and rehabilitation alone.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
---------------,------------------,-----------------,"The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion for repair and rehabilitation alone.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
"     20,430    ",      Damaged     , Education Facilities ,"The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion for repair and rehabilitation alone.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
      N/A    ,    Destroyed   , Education Facilities ,"The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion for repair and rehabilitation alone.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
:------------------:,:------:,:----------------:,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         11         , Damaged,"       Health Centre, Schools       ","In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,Destroyed,        -       ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,    -   ,     Universities    ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,    -   ,       Colleges     ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,    -   ,Secondary/High Schools,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,    -   ,  Elementary Schools ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,    -   ,   Pre-school facilities  ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,    -   ,   Training Centres  ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,    -   ,      Kindergarten     ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,    -   ,     Military School         ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         -          ,    -   , Education Facilities ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
,,,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
---------------------,----------------,-----------------,"Although the 2022-2023 academic year will end on 16 June, summer programmes will be organized to compensate for the loss of learning due to school closures.",Türkiye,2023-04-17 19:56:22+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-14-13-april-2023-entr,
         0           ,   Not mentioned ,  Not mentioned   ,"Although the 2022-2023 academic year will end on 16 June, summer programmes will be organized to compensate for the loss of learning due to school closures.",Türkiye,2023-04-17 19:56:22+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-14-13-april-2023-entr,
----------------,---------------,------------------,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
