Number of Buildings Mentioned,What Happened,Type of Building,text,primary_country,date_posted,format,url,NER_extracted_geolocation
---------------------,--------------------------------,------------------,"Significant numbers of medical service centres were affected, with 15 hospitals across 10 provinces damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
 15                  , Damaged                        , Hospitals        ,"Significant numbers of medical service centres were affected, with 15 hospitals across 10 provinces damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
 10                  , -                              , -                ,"Significant numbers of medical service centres were affected, with 15 hospitals across 10 provinces damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
---------------------,---------------------------------,------------------,"• Health systems have suffered from the impacts both on their infrastructure and their staff, 15 and this reduction in capacity came at the same time as an increase in needs due to earthquake-related injuries.16 Furthermore, there has been a clear increase in needs for mental health support following the earthquakes",Syria,2023-05-17 09:06:25+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/impact-earthquakes-humanitarian-situation-northwest-syria-may-2023,
        15           ,                Not mentioned     ,   Hospitals      ,"• Health systems have suffered from the impacts both on their infrastructure and their staff, 15 and this reduction in capacity came at the same time as an increase in needs due to earthquake-related injuries.16 Furthermore, there has been a clear increase in needs for mental health support following the earthquakes",Syria,2023-05-17 09:06:25+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/impact-earthquakes-humanitarian-situation-northwest-syria-may-2023,
        Not mentioned,                Damaged          ,   Clinics        ,"• Health systems have suffered from the impacts both on their infrastructure and their staff, 15 and this reduction in capacity came at the same time as an increase in needs due to earthquake-related injuries.16 Furthermore, there has been a clear increase in needs for mental health support following the earthquakes",Syria,2023-05-17 09:06:25+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/impact-earthquakes-humanitarian-situation-northwest-syria-may-2023,
        Not mentioned,                Destroyed        ,   Health centres,"• Health systems have suffered from the impacts both on their infrastructure and their staff, 15 and this reduction in capacity came at the same time as an increase in needs due to earthquake-related injuries.16 Furthermore, there has been a clear increase in needs for mental health support following the earthquakes",Syria,2023-05-17 09:06:25+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/impact-earthquakes-humanitarian-situation-northwest-syria-may-2023,
------,-------,--------,"Los dos devastadores terremotos producidos inicialmente el 6 de febrero de 2023, a los que siguieron miles de réplicas, han llevado a muchas familias a una situación límite, han dejado a niños y niñas sin hogar y sin acceso a servicios esenciales —como agua potable, educación y atención médica— y han provocado un aumento de los riesgos para la protección de los niños y niñas vulnerables.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
 0 , N/A , N/A ,"Los dos devastadores terremotos producidos inicialmente el 6 de febrero de 2023, a los que siguieron miles de réplicas, han llevado a muchas familias a una situación límite, han dejado a niños y niñas sin hogar y sin acceso a servicios esenciales —como agua potable, educación y atención médica— y han provocado un aumento de los riesgos para la protección de los niños y niñas vulnerables.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
 1 , Damaged , Health Centre ,"Los dos devastadores terremotos producidos inicialmente el 6 de febrero de 2023, a los que siguieron miles de réplicas, han llevado a muchas familias a una situación límite, han dejado a niños y niñas sin hogar y sin acceso a servicios esenciales —como agua potable, educación y atención médica— y han provocado un aumento de los riesgos para la protección de los niños y niñas vulnerables.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
 1 , Destroyed , Hospital ,"Los dos devastadores terremotos producidos inicialmente el 6 de febrero de 2023, a los que siguieron miles de réplicas, han llevado a muchas familias a una situación límite, han dejado a niños y niñas sin hogar y sin acceso a servicios esenciales —como agua potable, educación y atención médica— y han provocado un aumento de los riesgos para la protección de los niños y niñas vulnerables.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
 1 , Damaged , Clinic ,"Los dos devastadores terremotos producidos inicialmente el 6 de febrero de 2023, a los que siguieron miles de réplicas, han llevado a muchas familias a una situación límite, han dejado a niños y niñas sin hogar y sin acceso a servicios esenciales —como agua potable, educación y atención médica— y han provocado un aumento de los riesgos para la protección de los niños y niñas vulnerables.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
 0 , N/A , Not mentioned ,"Los dos devastadores terremotos producidos inicialmente el 6 de febrero de 2023, a los que siguieron miles de réplicas, han llevado a muchas familias a una situación límite, han dejado a niños y niñas sin hogar y sin acceso a servicios esenciales —como agua potable, educación y atención médica— y han provocado un aumento de los riesgos para la protección de los niños y niñas vulnerables.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
:------------------:,:-------------:,:----------------:,"Of the 80,000 doctors who lived in Syria before the war began, just 20,000 remain, with some areas of the country, including earthquake affected areas, having just one doctor per 10,000 people [8] Tareq*, 28, a doctor at a Save the Children supported mobile health clinic in Syria, said the earthquakes have worsened the hunger crisis.",Syria,2023-05-17 13:21:28+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/child-stunting-syria-could-reach-levels-never-seen-earthquakes-threaten-push-665000-people-hunger,Syria
