number of workers affected,type of workers,workers affected working sector,text,primary_country,date_posted,format,url,NER_extracted_geolocation
"      50,000                ",        N/A     ,       N/A     ,"According to the Disaster and Emergency Management Authority (AFAD), as of 11 May 2023, more than 108,000 people were reportedly injured and more than 50,000 lost their lives following the earthquakes.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
"          108,000          ",        N/A     ,       N/A     ,"According to the Disaster and Emergency Management Authority (AFAD), as of 11 May 2023, more than 108,000 people were reportedly injured and more than 50,000 lost their lives following the earthquakes.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
" 107,204 ", Not specified , Not applicable ,"According to the Disaster and Emergency Management Authority (AFAD), as of 5 April 2023, 107,204 people were reported injured and 50,339 have lost their lives following the earthquakes.",Türkiye,2023-06-03 02:23:42+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-02062023,
" 50,339 ", Not specified , Not applicable ,"According to the Disaster and Emergency Management Authority (AFAD), as of 5 April 2023, 107,204 people were reported injured and 50,339 have lost their lives following the earthquakes.",Türkiye,2023-06-03 02:23:42+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-02062023,
"           9,100,000       ", Not specified  , Not specified  ,"A total of 9.1 million people were affected by the earthquakes, 3 million people were displaced, and 298,000 buildings were completely destroyed.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
"           3,000,000       ", Not specified  , Not specified  ,"A total of 9.1 million people were affected by the earthquakes, 3 million people were displaced, and 298,000 buildings were completely destroyed.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
"           2,400,000        ",   Not specified , Not specified    ,"In the earthquake zone, approximately 2.4 million people live in temporary shelters.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
" 30,000 ", Not mentioned , Not mentioned ,"In the ensuing months, more than 30,000 aftershocks rattled the area, reinforcing the grave risks that the local communities faced.",Türkiye,2023-06-01 10:55:15+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquakes-situation-report-v-rising-debris-journey-early-recovery-01062023,
"    50,000        ",     N/A        ,       N/A         ,"As of April 11th, the Disaster and Emergency Management Presidency (AFAD) reported that over 50,000 people had perished and tens of thousands more had been injured as a result of the quakes.",Türkiye,2023-06-01 10:55:15+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquakes-situation-report-v-rising-debris-journey-early-recovery-01062023,
" 330,000 ", Not specified , Not specified ,"Over 330,000 people remain displaced, and thousands more lost access to basic services and livelihoods.",Syria,2023-05-30 14:44:41+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/ms-ghada-eltahir-mudawi-deputy-director-operations-advocacy-division-ocha-behalf-mr-martin-griffiths-usg-humanitarian-affairs-and-emergency-relief-coordinator-briefing-security-council-humanitarian-situation-syria,
"     4,000,000     ",   Children      ,     Education     ,"While more efforts are needed to ensure the continuity of education in the disaster zone, it is stated that approximately 4 million children in the region have been affected by an interruption in their education.",Türkiye,2023-05-19 10:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-18-may-2023-situation-report-22-entr,
 3 million                  , Not specified  , Not specified ,"Although it’s been more than two months since deadly earthquakes struck Turkey, more than 3 million people remain homeless and unsure of their future.",Türkiye,2023-05-19 08:32:02+00:00,News and Press Release,https://reliefweb.int/report/turkiye/hope-through-emergency-safe-water-turkey,Türkiye
 135 , N/A , N/A ,"Before the earthquakes, 135 people lived there.",Türkiye,2023-05-18 14:17:26+00:00,News and Press Release,https://reliefweb.int/report/turkiye/devastating-impact-recent-earthquakes-turkeys-minorities,
"    4,000,000     ",     Children     ,    Education    ,"La educación de casi cuatro millones de niños y niñas escolarizados se ha visto interrumpida, incluida la de más de 350.000 niñas y niños refugiados y migrantes.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
"      350,000     ", Children refuges and migrants ,    Education    ,"La educación de casi cuatro millones de niños y niñas escolarizados se ha visto interrumpida, incluida la de más de 350.000 niñas y niños refugiados y migrantes.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
 40% of households in affected regions  , N/A , N/A,"En las regiones afectadas de Türkiye, las tasas de pobreza infantil eran ya elevadas y aproximadamente el 40% de los hogares vivían por debajo del umbral de la pobreza, frente al 32% registrado a escala nacional.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,Türkiye
 32% nationwide households below poverty line , N/A , N/A,"En las regiones afectadas de Türkiye, las tasas de pobreza infantil eran ya elevadas y aproximadamente el 40% de los hogares vivían por debajo del umbral de la pobreza, frente al 32% registrado a escala nacional.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,Türkiye
 0 (No information provided) , N/A , N/A ,"En las regiones afectadas de Türkiye, las tasas de pobreza infantil eran ya elevadas y aproximadamente el 40% de los hogares vivían por debajo del umbral de la pobreza, frente al 32% registrado a escala nacional.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,Türkiye
 20% , N/A , Food ,"The impact also caused a spike in the cost of basic food items such as bread, which jumped 20% in some areas, while onions have become so expensive, they're now considered a luxury item.",Syria,2023-05-17 13:21:28+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/child-stunting-syria-could-reach-levels-never-seen-earthquakes-threaten-push-665000-people-hunger,
 100 , Not specified , Not specified ,"Thanks to you, my child can forget about the earthquake and feel a bit more normal, even if it’s only for a few hours.” Now 100 days on, I can see those frozen expressions thawing into something else, though we must remember that recovery and healing is a process that take months, if not years.",Türkiye,2023-05-17 00:52:43+00:00,News and Press Release,https://reliefweb.int/report/turkiye/after-quakes-turkiye-grapples-rising-distress-bullying-and-self-harm-100-days-later,
" 53,000 ", Not applicable , Not applicable ,"At least 53,000 families displaced after the earthquakes require dignified shelters, beyond the scope of the Syria Earthquake Flash Appeal.",Syria,2023-05-15 20:42:48+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-20-earthquake-nw-syria-11-may-2023,Syria
 50700 , N/A , N/A ,"More than 50,700 people were killed, 3.3 million displaced and over 313,000 buildings have been destroyed.",Türkiye,2023-05-15 20:10:08+00:00,News and Press Release,https://reliefweb.int/report/turkiye/100-days-later-view-turkiye-and-syria,
 3300000 , N/A , N/A ,"More than 50,700 people were killed, 3.3 million displaced and over 313,000 buildings have been destroyed.",Türkiye,2023-05-15 20:10:08+00:00,News and Press Release,https://reliefweb.int/report/turkiye/100-days-later-view-turkiye-and-syria,
" 3,000,000 ", N/A , N/A ,3 million people were displaced by the earthquake; 1.6 million people are living in informal settlements.,Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
" 1,600,000 ", N/A , N/A ,3 million people were displaced by the earthquake; 1.6 million people are living in informal settlements.,Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
" 2,400,000                  ", Women          , Not mentioned     ,"According to United Nations data, an estimated 2.4 million women of reproductive age were impacted by the earthquakes.",Türkiye,2023-05-11 19:17:21+00:00,News and Press Release,https://reliefweb.int/report/turkiye/rebuilding-primary-health-care-services-after-february-2023-earthquakes-addressing-womens-reproductive-health-turkiye,
" 2,300,000 ", Not specified , Not specified ,"In Türkiye, 2.3 million people have been identified as living in formal and informal settlements across earthquake affected areas.",Türkiye,2023-05-09 16:36:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/three-months-after-earthquakes-turkiye-and-northwest-syria-crises-persist,Türkiye
 2.4 million , Not mentioned , Not mentioned ,"In Türkiye, a country home to the largest number of refugees in the world, tens of thousands of people were forced into makeshift shelters on the street, their family homes flattened in an instant – some 2.4 million are reported to be still living in displacement camps.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,Türkiye
"          815,000         ",  livestock      ,        -           ,"For example, agricultural infrastructure, including warehouses, packaging and storage facilities, as well as equipment, have been severely damaged; more than 13 284 livestock shelters were destroyed and around 815 000 heads of livestock were lost; fisheries were impacted; and markets and supply chains were disrupted.",Türkiye,2023-05-05 13:46:53+00:00,Appeal,https://reliefweb.int/report/turkiye/turkiye-earthquake-response-and-recovery-plan-2023-2026,
" 14,000,000 ", Not specified , Not specified ,The report states that the earthquake affected 14 million people of which 3 million have left the region.,Türkiye,2023-05-05 10:53:56+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-03052023,
" 3,000,000 ", Not specified , Not specified ,The report states that the earthquake affected 14 million people of which 3 million have left the region.,Türkiye,2023-05-05 10:53:56+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-03052023,
" 53,000                    ", Not specified  , Not specified          ,"At least 53,000 families displaced after the earthquakes require dignified shelters, beyond the scope of the Syria Earthquake Flash Appeal.",Syria,2023-05-05 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-19-earthquake-nw-syria-5-may-2023,Syria
       5                   ,    Household   , N/A              ,"The Minimum Expenditure Basket for a household of five members reached SYP 1,348,451 (USD 298) in March 2023, marking an eighth consecutive monthly increase.",Syria,2023-05-02 10:07:18+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/wfp-syria-market-price-watch-bulletin-march-2023,
 11 , UNRWA staff , Education and healthcare ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
"         8,800,000       ",   Not Mentioned ,   Not Mentioned ,An estimated 8.8 million people in Syria were affected by the earthquakes.,Syria,2023-05-01 06:18:18+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-unhcr-operational-update-march-2023-enar,Syria
 1                          , Child           , N/A            ,"An observation visit to the affected neighborhoods on 21 April conducted by humanitarian partners found unconfirmed reports that 1 child died and at least 44 people were injured during the storms, and about 300 families were affected.",Türkiye,2023-04-29 15:31:57+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-16-27-april-2023-entr,
 44                         , N/A             , N/A            ,"An observation visit to the affected neighborhoods on 21 April conducted by humanitarian partners found unconfirmed reports that 1 child died and at least 44 people were injured during the storms, and about 300 families were affected.",Türkiye,2023-04-29 15:31:57+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-16-27-april-2023-entr,
 300                        , N/A             , N/A            ,"An observation visit to the affected neighborhoods on 21 April conducted by humanitarian partners found unconfirmed reports that 1 child died and at least 44 people were injured during the storms, and about 300 families were affected.",Türkiye,2023-04-29 15:31:57+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-16-27-april-2023-entr,
" 70,000                 ", Not specified  , Not specified  ,"Close to 70,000 Syrians were issued authorizations to temporarily exit to Syria after the earthquake according to authorities, mainly to check on family and attend funerals.",Türkiye,2023-04-29 15:31:57+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-16-27-april-2023-entr,Syria
 22                         , Civilians        , Not specified     ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 5                          , Children         , Not specified     ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 15                         , Civilians        , Not specified     ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 7                          , Civilians        , Not specified     ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 15 , Civilians , Unknown ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 5 , Children , Unknown ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 7 , Civilians , Unknown ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
" 53,000 families ", Not specified , Not specified ,"Looking beyond the scope of the Syria Earthquake Flash Appeal, at least 53,000 families displaced after the earthquakes are in need of dignified shelters.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 45 ," 1 Fatality, 44 Injured ", Not specified ,1 person died and 44 injured in the storm.,Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,
