Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 :---: , :---: , :---: , :---: ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 24 , 24 (all damaged or destroyed) , Household , N/A ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 N/A , N/A , Residence , N/A ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 N/A , N/A , N/A , Over 100 cattle perished ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 N/A , N/A , N/A , 13 deaths reported ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 N/A , N/A , N/A , 11 injuries reported ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
------------------------------,----------------------,-----------------,--------------------------------,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
          1 million           ,       Destroyed      ,    Household    ,           US$ 15 billion      ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
           Unknown            ,       Damaged        ,     Unknown     ,                -               ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
           2 million          ,         -            ,     Crops       ,                -               ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
"           500,000           ",        Damaged        ,       Roads     ,                -               ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
 -------------------, -----------------, --------------, ---------------------,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed1 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 900,000            ", Fully Destroyed  , Household    , Not reported         ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed1 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 1,391,467          ", Partially Destroyed , Household  , Not reported         ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed1 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
