Infrastructure Casualty,Cost,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 --- , --- ,"In Pakistan, more than 40 million people do not have access to electricity.",Pakistan,2023-06-05 04:19:39+00:00,Analysis,https://reliefweb.int/report/pakistan/burning-emergency-extreme-heat-and-right-health-pakistan,Pakistan
 Infrastructure casualty reported , None ,"In Pakistan, more than 40 million people do not have access to electricity.",Pakistan,2023-06-05 04:19:39+00:00,Analysis,https://reliefweb.int/report/pakistan/burning-emergency-extreme-heat-and-right-health-pakistan,Pakistan
 Cost reported , Not applicable ,"In Pakistan, more than 40 million people do not have access to electricity.",Pakistan,2023-06-05 04:19:39+00:00,Analysis,https://reliefweb.int/report/pakistan/burning-emergency-extreme-heat-and-right-health-pakistan,Pakistan
 People without access to electricity in Pakistan , 40 million ,"In Pakistan, more than 40 million people do not have access to electricity.",Pakistan,2023-06-05 04:19:39+00:00,Analysis,https://reliefweb.int/report/pakistan/burning-emergency-extreme-heat-and-right-health-pakistan,Pakistan
 --- , --- ,"The retail prices of fuels increased in February 2023 compared to the previous month i.e, Super Petrol (+9.0%) and Diesel (+7.0%).",Pakistan,2023-04-15 06:29:28+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-market-monitor-report-march-2023,
 Retail fuel price increase (%) in February 2023 compared to the previous month ," 9.0% (Super Petrol), 7.0% (Diesel) ","The retail prices of fuels increased in February 2023 compared to the previous month i.e, Super Petrol (+9.0%) and Diesel (+7.0%).",Pakistan,2023-04-15 06:29:28+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-market-monitor-report-march-2023,
 --- , --- ,"In addition to houses and croplands, 1,000 km of roads and 18 bridges have also been damaged and impede access across flood-affected areas.",Pakistan,2022-10-18 09:37:06+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-needs-assessment-report-2022-monsoon-floods-balochistan-pakistan-august-2022-0,
" 1,000 km of roads ", - ,"In addition to houses and croplands, 1,000 km of roads and 18 bridges have also been damaged and impede access across flood-affected areas.",Pakistan,2022-10-18 09:37:06+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-needs-assessment-report-2022-monsoon-floods-balochistan-pakistan-august-2022-0,
 18 bridges , - ,"In addition to houses and croplands, 1,000 km of roads and 18 bridges have also been damaged and impede access across flood-affected areas.",Pakistan,2022-10-18 09:37:06+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-needs-assessment-report-2022-monsoon-floods-balochistan-pakistan-august-2022-0,
------------------------,---------------,"Nearly 1.9 million homes were damaged and destroyed, and more than 12.7 thousand kilometres of roads were swept.",Pakistan,2022-09-26 08:14:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emirati-development-projects-pakistan-contribute-reducing-effects-flood-disaster,
 1.9 million             , N/A           ,"Nearly 1.9 million homes were damaged and destroyed, and more than 12.7 thousand kilometres of roads were swept.",Pakistan,2022-09-26 08:14:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emirati-development-projects-pakistan-contribute-reducing-effects-flood-disaster,
 12.7 thousand           , N/A           ,"Nearly 1.9 million homes were damaged and destroyed, and more than 12.7 thousand kilometres of roads were swept.",Pakistan,2022-09-26 08:14:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emirati-development-projects-pakistan-contribute-reducing-effects-flood-disaster,
 ------------------------ , ------ ,"Many vulnerable people have been cut off from health centres and hospitals, and supply routes have been upended, as more than 12,000 kilometres of roads and hundreds of bridges linking remote areas to essential services have been obliterated.",Pakistan,2022-09-21 14:02:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/women-and-girls-pakistan-need-urgent-health-and-protection-services-amid-epic-flood-disaster,
" 12,000 kilometers of roads ", Unknown ,"Many vulnerable people have been cut off from health centres and hospitals, and supply routes have been upended, as more than 12,000 kilometres of roads and hundreds of bridges linking remote areas to essential services have been obliterated.",Pakistan,2022-09-21 14:02:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/women-and-girls-pakistan-need-urgent-health-and-protection-services-amid-epic-flood-disaster,
 Hundreds of bridges , Unknown ,"Many vulnerable people have been cut off from health centres and hospitals, and supply routes have been upended, as more than 12,000 kilometres of roads and hundreds of bridges linking remote areas to essential services have been obliterated.",Pakistan,2022-09-21 14:02:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/women-and-girls-pakistan-need-urgent-health-and-protection-services-amid-epic-flood-disaster,
-----------------------,---------------,Rapid assessments have revealed extensive damage to the cold chain for vaccines with 349 refrigerators and solar direct drive systems damaged and more being found as the floodwaters recede.,Pakistan,2022-09-20 16:59:08+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-3-floods-20-september-2022,
         349           ,    N/A        ,Rapid assessments have revealed extensive damage to the cold chain for vaccines with 349 refrigerators and solar direct drive systems damaged and more being found as the floodwaters recede.,Pakistan,2022-09-20 16:59:08+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-3-floods-20-september-2022,
