productive asset type,productive asset loss,text,primary_country,date_posted,format,url,NER_extracted_geolocation
       Cattle         ,           100                ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
       Houses         ,            24                ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 home , 1 million ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
 crops , 2 million acres ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
 roads , 500 000 kilometers ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
 Houses , 2.2 million damaged or destroyed ,"Highlights Floods in 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-04-17 16:49:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-11-march-2023,
 Bridges/roads , 50 km of roads and 15 bridges ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-04-11 05:36:44+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-2-march-2023-enursd,Pakistan
 Livestock        ," 50,000 animals                 ","Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-04-11 05:36:44+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-2-march-2023-enursd,Pakistan
 Textiles       , 2 factories                   ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-04-11 05:36:44+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-2-march-2023-enursd,Pakistan
 Houses                ," Fully Damaged: 897,014         ","As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 Houses               , 2.2 million                    ,"Situation in Numbers 33 million
People affected by heavy rains and floods 9.6 million
Children in need of humanitarian assistance 20.6 million
People in need of humanitarian assistance Highlights The floods of 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 Lives                ," 1,739                          ","Situation in Numbers 33 million
People affected by heavy rains and floods 9.6 million
Children in need of humanitarian assistance 20.6 million
People in need of humanitarian assistance Highlights The floods of 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 Houses                ," Partially Damaged: 1,391,467  ","As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 Chicken , 12 (maximum at a time) ,"Before the floods, Waqas and his family were subsistence farmers, with a buffalo, two cows, three goats and up to 12 chickens at a time, who they would breed to sell eggs as well as the animals themselves.",Pakistan,2023-03-09 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/we-are-barely-surviving-more-six-months-after-deadly-pakistan-floods-families-are-brink,
