Number Mentioned,Metric,Type of loss,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 6.4 billion , USD ," Crops, Food stocks, Agricultural infrastructure, Livestock production ","The disaster impacted critical infrastructure and led to extensive loss of livelihoods: losses and damage to crops, food stocks, agricultural infrastructure and assets, and livestock production are estimated at USD 6.4 billion.nTwo months after the disaster, the combined effects of the destruction of workplaces, interruption of economic activities, loss of life, injuries, and internal displacement has still severely compromised the ability of households to meet their basic needs.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
 1/3 , Percentage , Agricultural structures ,Over a third of the key informants reported damage to community-level agricultural structures and up to 80 percent reported damage to agricultural equipment in their village.,Syria,2023-05-17 11:19:50+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-arab-republic-post-earthquake-rapid-needs-assessment-agricultural-livelihoods-and-production-northwest-data-emergencies-impact-report-april-2023,
 80 , Percentage , Agricultural equipment ,Over a third of the key informants reported damage to community-level agricultural structures and up to 80 percent reported damage to agricultural equipment in their village.,Syria,2023-05-17 11:19:50+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-arab-republic-post-earthquake-rapid-needs-assessment-agricultural-livelihoods-and-production-northwest-data-emergencies-impact-report-april-2023,
" 13,284 ", Number of livestock shelters destroyed , Livestock Loss ,"For example, agricultural infrastructure, including warehouses, packaging and storage facilities, as well as equipment, have been severely damaged; more than 13 284 livestock shelters were destroyed and around 815 000 heads of livestock were lost; fisheries were impacted; and markets and supply chains were disrupted.",Türkiye,2023-05-05 13:46:53+00:00,Appeal,https://reliefweb.int/report/turkiye/turkiye-earthquake-response-and-recovery-plan-2023-2026,
" 815,000 ", Number of livestock lost , Livestock Loss ,"For example, agricultural infrastructure, including warehouses, packaging and storage facilities, as well as equipment, have been severely damaged; more than 13 284 livestock shelters were destroyed and around 815 000 heads of livestock were lost; fisheries were impacted; and markets and supply chains were disrupted.",Türkiye,2023-05-05 13:46:53+00:00,Appeal,https://reliefweb.int/report/turkiye/turkiye-earthquake-response-and-recovery-plan-2023-2026,
 20              , %      , Production   ,"Food and Agriculture Organization of the United Nations (FAO) also stated that more than 20 percent of Turkey's food production was damaged in the earthquake, which affected 11 important agricultural provinces.",Türkiye,2023-04-07 12:02:15+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-6th-2023-situation-report-20-entr,
 15           , Percent, Production loss,"FAO pointed out that the earthquake-affected region of Turkey, known as fertile lands, constitutes about 15 percent of the country's agricultural income.",Türkiye,2023-04-07 12:02:15+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-6th-2023-situation-report-20-entr,Türkiye
 20 , % , Production loss ,"Más del 20 % de la producción agrícola de Türkiye está dañada En Türkiye, el terremoto afectó gravemente a 11 provincias agrícolas clave y a 15,73 millones de personas y más del 20 % de la producción alimentaria del país.",Türkiye,2023-04-05 13:55:51+00:00,News and Press Release,https://reliefweb.int/report/turkiye/terremotos-en-turkiye-la-evaluacion-inicial-indica-perdidas-de-mas-del-20-en-la-produccion-alimentaria,Türkiye
 11 , Provinces , Agriculture loss ,"Más del 20 % de la producción agrícola de Türkiye está dañada En Türkiye, el terremoto afectó gravemente a 11 provincias agrícolas clave y a 15,73 millones de personas y más del 20 % de la producción alimentaria del país.",Türkiye,2023-04-05 13:55:51+00:00,News and Press Release,https://reliefweb.int/report/turkiye/terremotos-en-turkiye-la-evaluacion-inicial-indica-perdidas-de-mas-del-20-en-la-produccion-alimentaria,Türkiye
 15.73 , Million , People affected ,"Más del 20 % de la producción agrícola de Türkiye está dañada En Türkiye, el terremoto afectó gravemente a 11 provincias agrícolas clave y a 15,73 millones de personas y más del 20 % de la producción alimentaria del país.",Türkiye,2023-04-05 13:55:51+00:00,News and Press Release,https://reliefweb.int/report/turkiye/terremotos-en-turkiye-la-evaluacion-inicial-indica-perdidas-de-mas-del-20-en-la-produccion-alimentaria,Türkiye
