Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
----------------------,---------,---------------------,--------------------------------,"More than half a million buildings have sustained damage, of which at least 298,000 have either collapsed or been severely damaged.",Türkiye,2023-06-03 02:23:42+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-02062023,
"      500,000+     ",  Severe damage or collapse   ,        Not specified        ,               Not specified            ,"More than half a million buildings have sustained damage, of which at least 298,000 have either collapsed or been severely damaged.",Türkiye,2023-06-03 02:23:42+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-02062023,
"       298,000      ",  Severe damage or collapse   ,        Not specified        ,               Not specified            ,"More than half a million buildings have sustained damage, of which at least 298,000 have either collapsed or been severely damaged.",Türkiye,2023-06-03 02:23:42+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-02062023,
-----------,--------,-------------,------------------------,"In the earthquake zone, approximately 2.4 million people live in temporary shelters.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
  -               ,    -       ,  Household ,              -                       ,"In the earthquake zone, approximately 2.4 million people live in temporary shelters.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
  -               ,    -       ,  Residence ,              -                       ,"In the earthquake zone, approximately 2.4 million people live in temporary shelters.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
  -               , Destroyed ,  -                 ,              -                       ,"In the earthquake zone, approximately 2.4 million people live in temporary shelters.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
  -               ,  Damaged ,  -                 ,              -                       ,"In the earthquake zone, approximately 2.4 million people live in temporary shelters.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
 2.4M     ,     -       , Temporary Shelters    , Unknown                 ,"In the earthquake zone, approximately 2.4 million people live in temporary shelters.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
---------------------,----------------,---------------,--------------------------------,"More than half a million buildings have sustained damage, of which at more than 300,000 have either collapsed or been severely damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
" 500,000             ", damaged        , not specified , not specified                  ,"More than half a million buildings have sustained damage, of which at more than 300,000 have either collapsed or been severely damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
" 300,000             ", severely damaged / collapsed , not specified , not specified         ,"More than half a million buildings have sustained damage, of which at more than 300,000 have either collapsed or been severely damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
---------------------,------------------,-----------------,--------------------------------,"‘Our house is 75 per cent damaged,’ Hannah’s father says.",Türkiye,2023-05-24 14:34:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/salvation-army-partners-ngos-syria-and-turkey-earthquake-relief-and-recovery,
          1          ,     75% damaged   ,     Household   ,               N/A              ,"‘Our house is 75 per cent damaged,’ Hannah’s father says.",Türkiye,2023-05-24 14:34:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/salvation-army-partners-ngos-syria-and-turkey-earthquake-relief-and-recovery,
---------------------,----------------,---------------,-----------------------,"En los últimos 100 días, muchos de estos niños y niñas han seguido viviendo en situaciones increíblemente complicadas, con un estrés agravado por la incertidumbre añadida de no saber cuándo deberán trasladarse de un refugio a otro.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
         0           ,     N/A        ,      N/A      ,           0           ,"En los últimos 100 días, muchos de estos niños y niñas han seguido viviendo en situaciones increíblemente complicadas, con un estrés agravado por la incertidumbre añadida de no saber cuándo deberán trasladarse de un refugio a otro.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
------------------------------,---------------------,-----------------,--------------------------------,"We are on the 47th day of the earthquake, but the lack of tents is still a serious problem.",Türkiye,2023-05-18 14:17:26+00:00,News and Press Release,https://reliefweb.int/report/turkiye/devastating-impact-recent-earthquakes-turkeys-minorities,
