Number of People Mentioned,What Happened,Age,Gender,text,primary_country,date_posted,format,url,NER_extracted_geolocation
" 108,000                   ", Injured               , N/A , N/A    ,"According to the Disaster and Emergency Management Authority (AFAD), as of 11 May 2023, more than 108,000 people were reportedly injured and more than 50,000 lost their lives following the earthquakes.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
" 50,000                    ", Lost their lives      , N/A , N/A    ,"According to the Disaster and Emergency Management Authority (AFAD), as of 11 May 2023, more than 108,000 people were reportedly injured and more than 50,000 lost their lives following the earthquakes.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
" 107,204 ", Injured , -- , -- ,"According to the Disaster and Emergency Management Authority (AFAD), as of 5 April 2023, 107,204 people were reported injured and 50,339 have lost their lives following the earthquakes.",Türkiye,2023-06-03 02:23:42+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-02062023,
" 50,339 ", Lost their lives , -- , -- ,"According to the Disaster and Emergency Management Authority (AFAD), as of 5 April 2023, 107,204 people were reported injured and 50,339 have lost their lives following the earthquakes.",Türkiye,2023-06-03 02:23:42+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-02062023,
" 7,302   ", Dead    , Unknown , Unknown ,"According to the latest statement from the Ministry of Interior announced on 22 April, the number of people who lost their lives was 50,783, 7,302 of whom were refugees.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
" 50,783   ", Dead    , Unknown , Unknown ,"According to the latest statement from the Ministry of Interior announced on 22 April, the number of people who lost their lives was 50,783, 7,302 of whom were refugees.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
"      51,000     ",           Dead        , N/A ,  N/A   ,"As of 31 May, Médecins Sans Frontières (MSF) will hand over intervention activities in Türkiye, as the emergency response ends, following the devastating earthquakes that killed 51,000 people in the country's southeast.",Türkiye,2023-06-01 11:49:44+00:00,News and Press Release,https://reliefweb.int/report/turkiye/msf-hands-over-emergency-interventions-turkiye,Türkiye
 50000       , Dead          , NA  , NA     ,"As of April 11th, the Disaster and Emergency Management Presidency (AFAD) reported that over 50,000 people had perished and tens of thousands more had been injured as a result of the quakes.",Türkiye,2023-06-01 10:55:15+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquakes-situation-report-v-rising-debris-journey-early-recovery-01062023,
 > 10000     , Injured       , NA  , NA     ,"As of April 11th, the Disaster and Emergency Management Presidency (AFAD) reported that over 50,000 people had perished and tens of thousands more had been injured as a result of the quakes.",Türkiye,2023-06-01 10:55:15+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquakes-situation-report-v-rising-debris-journey-early-recovery-01062023,
 7302 , Dead , Unknown , Unknown ,"The number of migrants who lost their lives in the region is reported as 7,302, with 297 missing persons reported.",Türkiye,2023-05-19 10:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-18-may-2023-situation-report-22-entr,
 297 , Missing , Unknown , Unknown ,"The number of migrants who lost their lives in the region is reported as 7,302, with 297 missing persons reported.",Türkiye,2023-05-19 10:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-18-may-2023-situation-report-22-entr,
"     50,7832      ",      died     ,  N/A,   N/A  ,"According to the latest statement from the Ministry of Interior on 22 April, the number of people who lost their
lives in the earthquakes is 50,7832
.",Türkiye,2023-05-19 08:59:35+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-17052023,
" 100,000                   ", Injured               , N/A , N/A    ,"More than 50,000 people were killed and over 100,000 were injured in Turkey alone.",Türkiye,2023-05-18 14:17:26+00:00,News and Press Release,https://reliefweb.int/report/turkiye/devastating-impact-recent-earthquakes-turkeys-minorities,Türkiye
 135               , None  , Any , Any    ,"Before the earthquakes, 135 people lived there.",Türkiye,2023-05-18 14:17:26+00:00,News and Press Release,https://reliefweb.int/report/turkiye/devastating-impact-recent-earthquakes-turkeys-minorities,
" 50,000                    ", Killed                , N/A , N/A    ,"More than 50,000 people were killed and over 100,000 were injured in Turkey alone.",Türkiye,2023-05-18 14:17:26+00:00,News and Press Release,https://reliefweb.int/report/turkiye/devastating-impact-recent-earthquakes-turkeys-minorities,Türkiye
 6000            , Dead          , NA  , NA     ,"The earthquakes killed about 6,000 people and injured a further 12,000 across Syria.",Syria,2023-05-17 13:21:28+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/child-stunting-syria-could-reach-levels-never-seen-earthquakes-threaten-push-665000-people-hunger,Syria
 12000           , Injured       , NA  , NA     ,"The earthquakes killed about 6,000 people and injured a further 12,000 across Syria.",Syria,2023-05-17 13:21:28+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/child-stunting-syria-could-reach-levels-never-seen-earthquakes-threaten-push-665000-people-hunger,Syria
" 50,700 ", Dead , Not Mentioned , Not Mentioned ,"More than 50,700 people were killed, 3.3 million displaced and over 313,000 buildings have been destroyed.",Türkiye,2023-05-15 20:10:08+00:00,News and Press Release,https://reliefweb.int/report/turkiye/100-days-later-view-turkiye-and-syria,
 3.3 million , Displaced , Not Mentioned , Not Mentioned ,"More than 50,700 people were killed, 3.3 million displaced and over 313,000 buildings have been destroyed.",Türkiye,2023-05-15 20:10:08+00:00,News and Press Release,https://reliefweb.int/report/turkiye/100-days-later-view-turkiye-and-syria,
" 313,000 ", Buildings Destroyed , Not Mentioned , Not Mentioned ,"More than 50,700 people were killed, 3.3 million displaced and over 313,000 buildings have been destroyed.",Türkiye,2023-05-15 20:10:08+00:00,News and Press Release,https://reliefweb.int/report/turkiye/100-days-later-view-turkiye-and-syria,
" 50,783 ", Lost their lives in the earthquakes , N/A , N/A ,"According to the latest statement from the Ministry of Interior on 22 April, the number of people who lost their lives in the earthquakes is 50,783.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
"          55,000         ",                  Dead                 , N/A ,  N/A   ,"The combined impact of the earthquakes has been catastrophic across the region, killing more than 55,000 people and injuring more than 100,000, making this the deadliest earthquake disaster to strike the region in centuries.",Türkiye,2023-05-08 21:14:42+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkey-syria-earthquake-three-month-update,
"         100,000         ",                Injured                , N/A ,  N/A   ,"The combined impact of the earthquakes has been catastrophic across the region, killing more than 55,000 people and injuring more than 100,000, making this the deadliest earthquake disaster to strike the region in centuries.",Türkiye,2023-05-08 21:14:42+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkey-syria-earthquake-three-month-update,
" 100,000               ", Injured      , -     , -      ,"Twin earthquakes struck the country, causing devastation in 11 southeastern provinces, claiming over 50,000 lives, leaving more than 100,000 injured, and forcing approximately 3 million people to become displaced.",Türkiye,2023-05-06 07:51:38+00:00,News and Press Release,https://reliefweb.int/report/turkiye/kind-donations-iom-earthquake-response-turkiye-and-northwest-syria-reach-usd-10-million,
" 3,000,000             ", Displaced   , -     , -      ,"Twin earthquakes struck the country, causing devastation in 11 southeastern provinces, claiming over 50,000 lives, leaving more than 100,000 injured, and forcing approximately 3 million people to become displaced.",Türkiye,2023-05-06 07:51:38+00:00,News and Press Release,https://reliefweb.int/report/turkiye/kind-donations-iom-earthquake-response-turkiye-and-northwest-syria-reach-usd-10-million,
" 50,000                 ", Dead         , -     , -      ,"Twin earthquakes struck the country, causing devastation in 11 southeastern provinces, claiming over 50,000 lives, leaving more than 100,000 injured, and forcing approximately 3 million people to become displaced.",Türkiye,2023-05-06 07:51:38+00:00,News and Press Release,https://reliefweb.int/report/turkiye/kind-donations-iom-earthquake-response-turkiye-and-northwest-syria-reach-usd-10-million,
" 50,399           ", lost their lives    , Unknown  , Unknown,"Accordingly, the number of people who lost their lives is 50,399.",Türkiye,2023-05-05 10:53:56+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-03052023,
 7 , Dead , - , - ,The OHCHR monitoring reported seven civilian deaths and 15 injuries (including five children) as of 20 April due to recent clashes.,Syria,2023-05-05 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-19-earthquake-nw-syria-5-may-2023,
 15 , Injured , - , - ,The OHCHR monitoring reported seven civilian deaths and 15 injuries (including five children) as of 20 April due to recent clashes.,Syria,2023-05-05 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-19-earthquake-nw-syria-5-may-2023,
 5 , Injured (children) , Child , - ,The OHCHR monitoring reported seven civilian deaths and 15 injuries (including five children) as of 20 April due to recent clashes.,Syria,2023-05-05 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-19-earthquake-nw-syria-5-may-2023,
" 55,190 ", dead , - , - ,"According to government and UN sources, more than 55,190 people have died, and 129,490 have been injured.",Syria,2023-05-03 23:49:06+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-turkiye-earthquake-response-ster-situation-report-4-21-april-2023,
" 129,490 ", injured , - , - ,"According to government and UN sources, more than 55,190 people have died, and 129,490 have been injured.",Syria,2023-05-03 23:49:06+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-turkiye-earthquake-response-ster-situation-report-4-21-april-2023,
"           22,000          ",       Dead      , N/A ,  N/A   ,"As at 8 April, the province had recorded over 22,000 deaths from the earthquakes, the highest reported across the 11 earthquake-affected provinces in Türkiye.",Türkiye,2023-05-03 22:09:13+00:00,Analysis,https://reliefweb.int/report/turkiye/acaps-briefing-note-turkiye-earthquake-and-flooding-impact-hatay-province-02-may-2023,Türkiye
          34           ,   Dead   , Any , Any    ,Ammar lost 34 relatives in the quake that night.,Syria,2023-05-02 12:53:38+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/rebuilding-rubble-pin-creates-jobs-reconstruction-post-earthquake-syria,
