Number of Buildings Mentioned,What Happened,Type of Building,text,primary_country,date_posted,format,url,NER_extracted_geolocation
" 300,000+ ", Destroyed/severely damaged , N/A ,"More than half a million buildings have sustained damage, of which at more than 300,000 have either collapsed or been severely damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
 10                  , -                              , -                ,"Significant numbers of medical service centres were affected, with 15 hospitals across 10 provinces damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
 15                  , Damaged                        , Hospitals        ,"Significant numbers of medical service centres were affected, with 15 hospitals across 10 provinces damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
" 500,000+ ", Damaged , N/A ,"More than half a million buildings have sustained damage, of which at more than 300,000 have either collapsed or been severely damaged.",Türkiye,2023-06-07 13:22:55+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-07062023,
"     500,000+       ",   Damaged   ,     Undefined    ,"More than half a million buildings have sustained damage, of which at least 298,000 have either collapsed or been severely damaged.",Türkiye,2023-06-03 02:23:42+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-02062023,
"       298,000      ",  Destroyed  ,     Undefined    ,"More than half a million buildings have sustained damage, of which at least 298,000 have either collapsed or been severely damaged.",Türkiye,2023-06-03 02:23:42+00:00,Appeal,https://reliefweb.int/report/turkiye/revised-emergency-appeal-turkiye-europe-region-earthquakes-ndeg-mdrtr004-date-issue-02062023,
 2.4 million ,  Temporary shelters , Household/residence ,"In the earthquake zone, approximately 2.4 million people live in temporary shelters.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
" 298,000 ", Completely Destroyed, N/A ,"A total of 9.1 million people were affected by the earthquakes, 3 million people were displaced, and 298,000 buildings were completely destroyed.",Türkiye,2023-06-02 09:46:41+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-31052023,
 1         , Damaged      , Household / Residential    ,"‘Our house is 75 per cent damaged,’ Hannah’s father says.",Türkiye,2023-05-24 14:34:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/salvation-army-partners-ngos-syria-and-turkey-earthquake-relief-and-recovery,
 1 , Damaged , Clinic ,"Los dos devastadores terremotos producidos inicialmente el 6 de febrero de 2023, a los que siguieron miles de réplicas, han llevado a muchas familias a una situación límite, han dejado a niños y niñas sin hogar y sin acceso a servicios esenciales —como agua potable, educación y atención médica— y han provocado un aumento de los riesgos para la protección de los niños y niñas vulnerables.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
