number of people displaced,specific_group,From,To,"specific group, From, To",Source (Extracted from text),text,document title,primary_country,date_posted,format,url
8183357,refugees,not specified,europe,refugees to europe,     -      ,"8,183,357
Individual refugees from Ukraine recorded across Europe (2 May) 5,065,235
Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (2 May) 5,352,000
Estimated number of internally displaced people (IDPs) RECENT HIGHLIGHTS Since 27 February 2023, the UNHCR series of regional digital protection campaigns on social media have reached 2.1 million Ukrainian-speaking people across 17 countries in Europe, with Poland, Czech Republic, Germany, Italy and the Republic of Moldova leading the reach.",Ukraine Situation Flash Update #46 (5 May 2023),['Ukraine'],2023-05-05,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-46-5-may-2023
5400000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Text mentioned in the question ,The war continued to also have a heavy impact on people who cannot go back to their homes – over 5.4 million people are internally displaced – and those all across the country living under almost daily air sirens and threats of attacks.,"Ukraine Humanitarian Response 2023: Situation Report, 26 May 2023 [EN/UK]",['Ukraine'],2023-05-26,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-response-2023-situation-report-26-may-2023-enuk
82000000,refugees,not specified,europe,refugees to europe,          UNHCR – May 2023       ,"8,836 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – May 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 3.6 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 GoRF forces intensified aerial attacks on civilian population centers across Ukraine during May, resulting in civilian deaths, injuries, and damage to infrastructures.","Ukraine - Complex Emergency Fact Sheet #15, Fiscal Year (FY) 2023",['Ukraine'],2023-05-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-15-fiscal-year-fy-2023
54000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps),          IOM – January 2023     ,"8,836 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – May 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 3.6 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 GoRF forces intensified aerial attacks on civilian population centers across Ukraine during May, resulting in civilian deaths, injuries, and damage to infrastructures.","Ukraine - Complex Emergency Fact Sheet #15, Fiscal Year (FY) 2023",['Ukraine'],2023-05-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-15-fiscal-year-fy-2023
176000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance,          UN – January 2023      ,"8,836 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – May 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 3.6 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 GoRF forces intensified aerial attacks on civilian population centers across Ukraine during May, resulting in civilian deaths, injuries, and damage to infrastructures.","Ukraine - Complex Emergency Fact Sheet #15, Fiscal Year (FY) 2023",['Ukraine'],2023-05-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-15-fiscal-year-fy-2023
83000000,refugees,not specified,europe,refugees to europe, UNHCR – May 2023 ,"SITUATION AT A GLANCE 8,895 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – April 2023 8.3 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 5.4 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 GoRF forces intensified missile and UAV attacks on Kyiv and other population centers across Ukraine in late May.","Ukraine - Complex Emergency Fact Sheet #16, Fiscal Year (FY) 2023",['Ukraine'],2023-06-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-16-fiscal-year-fy-2023
54000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – January 2023 ,"SITUATION AT A GLANCE 8,895 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – April 2023 8.3 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 5.4 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 GoRF forces intensified missile and UAV attacks on Kyiv and other population centers across Ukraine in late May.","Ukraine - Complex Emergency Fact Sheet #16, Fiscal Year (FY) 2023",['Ukraine'],2023-06-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-16-fiscal-year-fy-2023
176000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance, UN – January 2023 ,"SITUATION AT A GLANCE 8,895 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – April 2023 8.3 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 5.4 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 GoRF forces intensified missile and UAV attacks on Kyiv and other population centers across Ukraine in late May.","Ukraine - Complex Emergency Fact Sheet #16, Fiscal Year (FY) 2023",['Ukraine'],2023-06-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-16-fiscal-year-fy-2023
54000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – April 2023 ,"SITUATION AT A GLANCE 8,895 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – April 2023 8.3 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 5.4 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 GoRF forces intensified missile and UAV attacks on Kyiv and other population centers across Ukraine in late May.","Ukraine - Complex Emergency Fact Sheet #16, Fiscal Year (FY) 2023",['Ukraine'],2023-06-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-16-fiscal-year-fy-2023
59000000,refugees,not specified,europe,refugees to europe, UNHCR – June 2023 ,"SITUATION AT A GLANCE 8,983 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – June 2023 5.9 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – June 2023 5.1 MILLION People Internally Displaced Across Ukraine.","Ukraine - Complex Emergency Fact Sheet #17, Fiscal Year (FY) 2023",['Ukraine'],2023-06-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-17-fiscal-year-fy-2023
51000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), - ,"SITUATION AT A GLANCE 8,983 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – June 2023 5.9 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – June 2023 5.1 MILLION People Internally Displaced Across Ukraine.","Ukraine - Complex Emergency Fact Sheet #17, Fiscal Year (FY) 2023",['Ukraine'],2023-06-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-17-fiscal-year-fy-2023
176000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance,  IOM - May 2023  ,"IOM – May 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 5.4 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 • On June 6, an explosion at Kakhovka dam generated severe flooding across approximately 80 settlements in southern Ukraine, displacing thousands of people and disrupting water supply.","Ukraine - Complex Emergency Fact Sheet #17, Fiscal Year (FY) 2023",['Ukraine'],2023-06-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-17-fiscal-year-fy-2023
82000000,refugees,not specified,europe,refugees to europe, UNHCR – May 2023,"SITUATION AT A GLANCE 8,709 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – May 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 3.6 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 • GoRF continued aerial attacks across Ukraine in late April and early May, resulting in civilian deaths, injuries, and damage to infrastructure.","Ukraine - Complex Emergency Fact Sheet #14, Fiscal Year (FY) 2023",['Ukraine'],2023-05-05,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-14-fiscal-year-fy-2023
54000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – January 2023 ,"SITUATION AT A GLANCE 8,709 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – May 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 3.6 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 • GoRF continued aerial attacks across Ukraine in late April and early May, resulting in civilian deaths, injuries, and damage to infrastructure.","Ukraine - Complex Emergency Fact Sheet #14, Fiscal Year (FY) 2023",['Ukraine'],2023-05-05,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-14-fiscal-year-fy-2023
176000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance, UN – January 2023 ,"SITUATION AT A GLANCE 8,709 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – May 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 3.6 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 • GoRF continued aerial attacks across Ukraine in late April and early May, resulting in civilian deaths, injuries, and damage to infrastructure.","Ukraine - Complex Emergency Fact Sheet #14, Fiscal Year (FY) 2023",['Ukraine'],2023-05-05,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-14-fiscal-year-fy-2023
36000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – April 2023 ,"SITUATION AT A GLANCE 8,709 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – May 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – May 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 3.6 MILLION People Reached With Humanitarian Assistance in Ukraine in 2023UN – April 2023 • GoRF continued aerial attacks across Ukraine in late April and early May, resulting in civilian deaths, injuries, and damage to infrastructure.","Ukraine - Complex Emergency Fact Sheet #14, Fiscal Year (FY) 2023",['Ukraine'],2023-05-05,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-14-fiscal-year-fy-2023
8240289,refugees,not specified,europe,refugees to europe, Internal Displacement Report (18 April) ,"8,240,289 Individual refugees from Ukraine recorded across Europe (18 April) 5,124,575* Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (18 April) 5,352,000 Estimated number of internally displaced people (IDPs) in Ukraine (23 January) Internal Displacement Report RECENT HIGHLIGHTS Many communities along Ukraine’s north-eastern border with Russia and the frontline of fighting, are encircled, without access to water, food, and medical care, said the UN Emergency Relief Coordinator Martin Griffiths during the briefing to the Security Council on 15 May.",Ukraine Situation Flash Update #47 (19 May 2023),['Ukraine'],2023-05-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-47-19-may-2023
5124575,refugees,not specified,europe,refugees to europe, Internal Displacement Report (18 April) ,"8,240,289 Individual refugees from Ukraine recorded across Europe (18 April) 5,124,575* Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (18 April) 5,352,000 Estimated number of internally displaced people (IDPs) in Ukraine (23 January) Internal Displacement Report RECENT HIGHLIGHTS Many communities along Ukraine’s north-eastern border with Russia and the frontline of fighting, are encircled, without access to water, food, and medical care, said the UN Emergency Relief Coordinator Martin Griffiths during the briefing to the Security Council on 15 May.",Ukraine Situation Flash Update #47 (19 May 2023),['Ukraine'],2023-05-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-47-19-may-2023
5352000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Internal Displacement Report (23 January) ,"8,240,289 Individual refugees from Ukraine recorded across Europe (18 April) 5,124,575* Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (18 April) 5,352,000 Estimated number of internally displaced people (IDPs) in Ukraine (23 January) Internal Displacement Report RECENT HIGHLIGHTS Many communities along Ukraine’s north-eastern border with Russia and the frontline of fighting, are encircled, without access to water, food, and medical care, said the UN Emergency Relief Coordinator Martin Griffiths during the briefing to the Security Council on 15 May.",Ukraine Situation Flash Update #47 (19 May 2023),['Ukraine'],2023-05-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-47-19-may-2023
43000,total population,not specified,not specified,total population, Pre-war estimate      ,"Its population decreased more than threefold from pre-war 43,000 to an estimated 13,000 people, including at least 600 children, 5,000 older people and about 300 people with disabilities, according to partners on the ground.",Ukraine: Deterioration of the humanitarian situation in Donetska oblast - Flash Update #4: Lyman (16 May 2023) [EN/RU/UK],['Ukraine'],2023-05-17,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-deterioration-humanitarian-situation-donetska-oblast-flash-update-4-lyman-16-may-2023-enruuk
13000,total population,not specified,not specified,total population, Current estimate      ,"Its population decreased more than threefold from pre-war 43,000 to an estimated 13,000 people, including at least 600 children, 5,000 older people and about 300 people with disabilities, according to partners on the ground.",Ukraine: Deterioration of the humanitarian situation in Donetska oblast - Flash Update #4: Lyman (16 May 2023) [EN/RU/UK],['Ukraine'],2023-05-17,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-deterioration-humanitarian-situation-donetska-oblast-flash-update-4-lyman-16-may-2023-enruuk
82000000,refugees,not specified,europe,refugees to europe, UNHCR – March 2023 ,"Situation at a Glance 8,317 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – March 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – March 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • Heightened hostilities are causing humanitarian conditions in Bakhmut to deteriorate as a GoRF offensive persists.","Ukraine - Complex Emergency Fact Sheet #11, Fiscal Year (FY) 2023",['Ukraine'],2023-03-27,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-11-fiscal-year-fy-2023
54000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – January 2023 ,"Situation at a Glance 8,317 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – March 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – March 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • Heightened hostilities are causing humanitarian conditions in Bakhmut to deteriorate as a GoRF offensive persists.","Ukraine - Complex Emergency Fact Sheet #11, Fiscal Year (FY) 2023",['Ukraine'],2023-03-27,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-11-fiscal-year-fy-2023
158000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – December 2022 ,"Situation at a Glance 8,317 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – March 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – March 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • Heightened hostilities are causing humanitarian conditions in Bakhmut to deteriorate as a GoRF offensive persists.","Ukraine - Complex Emergency Fact Sheet #11, Fiscal Year (FY) 2023",['Ukraine'],2023-03-27,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-11-fiscal-year-fy-2023
176000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance, UN – January 2023 ,"Situation at a Glance 8,317 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – March 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – March 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • Heightened hostilities are causing humanitarian conditions in Bakhmut to deteriorate as a GoRF offensive persists.","Ukraine - Complex Emergency Fact Sheet #11, Fiscal Year (FY) 2023",['Ukraine'],2023-03-27,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-11-fiscal-year-fy-2023
82000000,refugees,not specified,europe,refugees to europe, UNHCR – April 2023 ,"SITUATION AT A GLANCE 8,534 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – April 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – April 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • GoRF forces continued to launch daily aerial attacks against frontline areas of Ukraine in mid-April, resulting in civilian casualties and significant damage to civilian and residential infrastructure, including an April 14 attack on Sloviansk city that resulted in 15 deaths.","Ukraine - Complex Emergency Fact Sheet #13, Fiscal Year (FY) 2023",['Ukraine'],2023-04-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-13-fiscal-year-fy-2023
54000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – January 2023 ,"SITUATION AT A GLANCE 8,534 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – April 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – April 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • GoRF forces continued to launch daily aerial attacks against frontline areas of Ukraine in mid-April, resulting in civilian casualties and significant damage to civilian and residential infrastructure, including an April 14 attack on Sloviansk city that resulted in 15 deaths.","Ukraine - Complex Emergency Fact Sheet #13, Fiscal Year (FY) 2023",['Ukraine'],2023-04-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-13-fiscal-year-fy-2023
176000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance, UN – January 2023 ,"SITUATION AT A GLANCE 8,534 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – April 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – April 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • GoRF forces continued to launch daily aerial attacks against frontline areas of Ukraine in mid-April, resulting in civilian casualties and significant damage to civilian and residential infrastructure, including an April 14 attack on Sloviansk city that resulted in 15 deaths.","Ukraine - Complex Emergency Fact Sheet #13, Fiscal Year (FY) 2023",['Ukraine'],2023-04-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-13-fiscal-year-fy-2023
158000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – December 2022 ,"SITUATION AT A GLANCE 8,534 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – April 2023 8.2 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – April 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • GoRF forces continued to launch daily aerial attacks against frontline areas of Ukraine in mid-April, resulting in civilian casualties and significant damage to civilian and residential infrastructure, including an April 14 attack on Sloviansk city that resulted in 15 deaths.","Ukraine - Complex Emergency Fact Sheet #13, Fiscal Year (FY) 2023",['Ukraine'],2023-04-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-13-fiscal-year-fy-2023
5300000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Unspecified ,An additional 5.3 million Ukrainians are recorded as internally displaced.,"Ukraine Emergency Situation Report #17 (15 March, 2023)",['Ukraine'],2023-03-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-situation-report-17-15-march-2023
8163268,refugees,not specified,europe,refugees to europe, Internal Displacement Report (4 April) ,"8,163,268 Individual refugees from Ukraine recorded across Europe (4 April) 5,027,182* Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (4 April) 5,352,000 Estimated Number of internally displaced people (IDPs) in Ukraine (23 Jan) Internal Displacement Report RECENT HIGHLIGTHS On 5 April, the Ukrainian President and First Lady visited Poland.",Ukraine Situation Flash Update #44 (6 April 2023),['Ukraine'],2023-04-06,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-44-6-april-2023
5027182,refugees,not specified,europe,refugees to europe, Internal Displacement Report (4 April) ,"8,163,268 Individual refugees from Ukraine recorded across Europe (4 April) 5,027,182* Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (4 April) 5,352,000 Estimated Number of internally displaced people (IDPs) in Ukraine (23 Jan) Internal Displacement Report RECENT HIGHLIGTHS On 5 April, the Ukrainian President and First Lady visited Poland.",Ukraine Situation Flash Update #44 (6 April 2023),['Ukraine'],2023-04-06,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-44-6-april-2023
5352000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Internal Displacement Report (23 Jan) ,"8,163,268 Individual refugees from Ukraine recorded across Europe (4 April) 5,027,182* Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (4 April) 5,352,000 Estimated Number of internally displaced people (IDPs) in Ukraine (23 Jan) Internal Displacement Report RECENT HIGHLIGTHS On 5 April, the Ukrainian President and First Lady visited Poland.",Ukraine Situation Flash Update #44 (6 April 2023),['Ukraine'],2023-04-06,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-44-6-april-2023
14000000,total population,not specified,not specified,total population, Text provided          ,"WFP Ukraine Response After over 21,000 civilian casualties, 5,000 missile strikes, 3,500 air strikes and 1,000 drone attacks, the 24th of February 2023 marked the one-year anniversary since the escalation of the war in 2022, which prompted a sudden humanitarian crisis with 14 million people displaced, and 11 million people in need of food, leading to an unprecedented global food crisis.",WFP Ukraine External Situation Report #37 (8 March 2023),['Ukraine'],2023-03-10,['Situation Report'],https://reliefweb.int/report/ukraine/wfp-ukraine-external-situation-report-37-8-march-2023
11000000,total population,not specified,not specified,total population, Text provided          ,"WFP Ukraine Response After over 21,000 civilian casualties, 5,000 missile strikes, 3,500 air strikes and 1,000 drone attacks, the 24th of February 2023 marked the one-year anniversary since the escalation of the war in 2022, which prompted a sudden humanitarian crisis with 14 million people displaced, and 11 million people in need of food, leading to an unprecedented global food crisis.",WFP Ukraine External Situation Report #37 (8 March 2023),['Ukraine'],2023-03-10,['Situation Report'],https://reliefweb.int/report/ukraine/wfp-ukraine-external-situation-report-37-8-march-2023
81000000,refugees,not specified,europe,refugees to europe, UNHCR – March 2023 ,"SITUATION AT A GLANCE 8,173 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – March 2023 8.1 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – March 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • GoRF forces continue to launch attacks on population centers and critical infrastructure across Ukraine, including a countrywide missile attack on March 9 that resulted in at least nine deaths and damage to energy infrastructure.","Ukraine - Complex Emergency Fact Sheet #10, Fiscal Year (FY) 2023",['Ukraine'],2023-03-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-10-fiscal-year-fy-2023
54000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – January 2023 ,"SITUATION AT A GLANCE 8,173 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – March 2023 8.1 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – March 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • GoRF forces continue to launch attacks on population centers and critical infrastructure across Ukraine, including a countrywide missile attack on March 9 that resulted in at least nine deaths and damage to energy infrastructure.","Ukraine - Complex Emergency Fact Sheet #10, Fiscal Year (FY) 2023",['Ukraine'],2023-03-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-10-fiscal-year-fy-2023
